Initialzing...
Initializing data source...
Loading training data...
Data initialization complete.
Initializing model...
Model initialization complete.
Training START
iter 1900:, hard_loss_metric=0.24051258, hard_loss_metric=0.24051258, full_loss_metric=0.17879385, full_loss_num=5000.83837891, mean_dist=2.35184860, lr=0.000100, hard or full='full'
0:02:28.959868
iter 2000:, hard_loss_metric=0.21645966, hard_loss_metric=0.21645966, full_loss_metric=0.17123868, full_loss_num=4635.60302734, mean_dist=2.39581585, lr=0.000100, hard or full='full'
iter 2100:, hard_loss_metric=0.23538794, hard_loss_metric=0.23538794, full_loss_metric=0.18043274, full_loss_num=4752.76855469, mean_dist=2.42019248, lr=0.000100, hard or full='full'
iter 2200:, hard_loss_metric=0.19957742, hard_loss_metric=0.19957742, full_loss_metric=0.16648847, full_loss_num=3864.97778320, mean_dist=2.52291846, lr=0.000100, hard or full='full'
iter 2300:, hard_loss_metric=0.20331734, hard_loss_metric=0.20331734, full_loss_metric=0.17510830, full_loss_num=3882.65600586, mean_dist=2.55434775, lr=0.000100, hard or full='full'
iter 2400:, hard_loss_metric=0.18215808, hard_loss_metric=0.18215808, full_loss_metric=0.17282051, full_loss_num=3115.04321289, mean_dist=2.69492340, lr=0.000100, hard or full='full'
iter 2500:, hard_loss_metric=0.18742825, hard_loss_metric=0.18742825, full_loss_metric=0.17501172, full_loss_num=3077.52465820, mean_dist=2.73821330, lr=0.000100, hard or full='full'
iter 2600:, hard_loss_metric=0.17885217, hard_loss_metric=0.17885217, full_loss_metric=0.17249726, full_loss_num=3012.24291992, mean_dist=2.75984931, lr=0.000100, hard or full='full'
iter 2700:, hard_loss_metric=0.17882942, hard_loss_metric=0.17882942, full_loss_metric=0.16916902, full_loss_num=2987.81005859, mean_dist=2.77119923, lr=0.000100, hard or full='full'
iter 2800:, hard_loss_metric=0.18400289, hard_loss_metric=0.18400289, full_loss_metric=0.18122904, full_loss_num=3027.72290039, mean_dist=2.77639294, lr=0.000100, hard or full='full'
iter 2900:, hard_loss_metric=0.15316382, hard_loss_metric=0.15316382, full_loss_metric=0.16956683, full_loss_num=2383.05590820, mean_dist=2.83667636, lr=0.000100, hard or full='full'
0:12:24.496070
iter 3000:, hard_loss_metric=0.16195887, hard_loss_metric=0.16195887, full_loss_metric=0.17184614, full_loss_num=2524.42456055, mean_dist=2.91983390, lr=0.000100, hard or full='full'
iter 3100:, hard_loss_metric=0.14705533, hard_loss_metric=0.14705533, full_loss_metric=0.16967289, full_loss_num=2066.87866211, mean_dist=3.04449058, lr=0.000100, hard or full='full'
iter 3200:, hard_loss_metric=0.13999464, hard_loss_metric=0.13999464, full_loss_metric=0.17258953, full_loss_num=1903.23840332, mean_dist=3.19365764, lr=0.000100, hard or full='full'
